text;label
Nói thiệt hơi phèn luôn đó!;__label__chitchat
Kể đi chứ;__label__chitchat
Buồn ngủ quá;__label__chitchat
Có khi nào an toàn giao thông thấy sao?;__label__chitchat
Tin được không?;__label__chitchat
Xin chào;__label__chitchat
Hôm nay mua điện thoại mới chưa, bực vãi;__label__chitchat
Nghe nè, wifi chập chờn khó chịu, thấy sao?;__label__chitchat
Haha, mlem cái bánh kem này ghê, được hong?;__label__chitchat
Ờ thôi;__label__chitchat
Đùa hả?;__label__chitchat
Uống cf không?;__label__chitchat
Hehe, làm biếng kinh khủng, có gì đâu mà lo?;__label__chitchat
Bạn hay đi chơi với bạn bè không?;__label__chitchat
Mình thấy chuyển đổi số ổn không?;__label__chitchat
Thật lòng mà nói, lương cơ sở nghe được phết.;__label__chitchat
Có biến gì mới không?;__label__chitchat
Nay trúng lịch thi liền 2 môn, vãi chưởng.;__label__chitchat
Bạn thích đọc sách không?;__label__chitchat
Ê bạn ơi, đang kẹt xe á, nghe hợp lý không?;__label__chitchat
Thật lòng mà nói, thị trường lao động nghe mệt mỏi ghê.;__label__chitchat
Thật lòng mà nói, môi trường và rác thải nhựa nghe lú luôn.;__label__chitchat
Nghe nè, trúng lịch thi liền 2 môn, có gì đâu mà lo?;__label__chitchat
Haha đỉnh vcl luôn đó!;__label__chitchat
Bạn nghĩ gì về minh bạch ngân sách nghe hợp lý không?;__label__chitchat
Thật lòng mà nói, lương cơ sở nghe đỉnh vcl.;__label__chitchat
Đỉnh của chóp căng nha luôn đó!;__label__chitchat
Nay mlem cái bánh kem này ghê, vãi thiệt.;__label__chitchat
Khá là ảo khum biết nữa luôn đó!;__label__chitchat
Có vẻ như giá nhà đất được không?;__label__chitchat
Bó tay;__label__chitchat
Căng đét bá cháy luôn đó!;__label__chitchat
Nay cà phê sữa hay bạc xỉu, vãi cả hàng.;__label__chitchat
Xịn sò, đang detox mạng xã hội nè, đi cùng tui không?;__label__chitchat
Trời ơi hơi phèn luôn đó!;__label__chitchat
Bạn có xem phim không?;__label__chitchat
Hello nè;__label__chitchat
Hehe mệt mỏi ghê luôn đó!;__label__chitchat
Nay cà phê sữa hay bạc xỉu, trễ chớ.;__label__chitchat
Ôi chao đường nào cũng được luôn đó!;__label__chitchat
Rất vui khi nói chuyện với bạn;__label__chitchat
Ừa cũng được;__label__chitchat
Nay trời mưa thế này đi đâu, quê vãi.;__label__chitchat
Nay ship đồ ăn giúp mình với, trễ chớ.;__label__chitchat
Công nhận được phết luôn đó!;__label__chitchat
Tám chuyện không?;__label__chitchat
Quá đãaaa;__label__chitchat
Xịn sò được phết luôn đó!;__label__chitchat
Quan điểm bạn ra sao về chuyển đổi số có gì đâu mà lo?;__label__chitchat
Thèm phở;__label__chitchat
Haha hơi phèn luôn đó!;__label__chitchat
Đỉnh thật sự;__label__chitchat
Ui, đang detox mạng xã hội nè, được không?;__label__chitchat
Đúng là mệt, mai dậy sớm nổi không, được không?;__label__chitchat
